Elapsed;Time;User Path;Virtual User ID;Parent;Element;Response time;Success;Population;Zone;CustumValue
1372;2020-09-30T20:25:15.059+02:00;"SearchAnimal";0-0;"Try";"Tr001_HomePage";934;yes;"Searchers";"Default zone";""
2373;2020-09-30T20:25:16.060+02:00;"BrowseForAnimals";0-24;"Try";"Tr001_HomePage";1934;yes;"Browsers";"Default zone";""
5222;2020-09-30T20:25:18.909+02:00;"BrowseForAnimals";0-24;"Try";"Tr002_EnterStore";299;yes;"Browsers";"Default zone";""
6134;2020-09-30T20:25:19.821+02:00;"SearchAnimal";0-1;"Try";"Tr001_HomePage";820;yes;"Searchers";"Default zone";""
6979;2020-09-30T20:25:20.666+02:00;"SearchAnimal";0-0;"Try";"Tr002_EnterStore";531;yes;"Searchers";"Default zone";""
9377;2020-09-30T20:25:23.064+02:00;"SearchAnimal";0-1;"Try";"Tr002_EnterStore";250;yes;"Searchers";"Default zone";""
10086;2020-09-30T20:25:23.773+02:00;"BrowseForAnimals";0-24;"Try";"Tr003_Browse";75;no;"Browsers";"Default zone";"Snakes;500"
10706;2020-09-30T20:25:24.393+02:00;"BrowseForAnimals";0-24;"Try";"Tr001_HomePage";611;yes;"Browsers";"Default zone";""
11529;2020-09-30T20:25:25.216+02:00;"SearchAnimal";0-0;"Try";"Tr003_Search";170;yes;"Searchers";"Default zone";"Gorilla;200"
11597;2020-09-30T20:25:25.284+02:00;"SearchAnimal";0-2;"Try";"Tr001_HomePage";1280;yes;"Searchers";"Default zone";""
11602;2020-09-30T20:25:25.289+02:00;"BrowseForAnimals";0-25;"Try";"Tr001_HomePage";1275;yes;"Browsers";"Default zone";""
13065;2020-09-30T20:25:26.752+02:00;"SearchAnimal";0-1;"Try";"Tr003_Search";131;yes;"Searchers";"Default zone";"Cats;200"
13388;2020-09-30T20:25:27.075+02:00;"SearchAnimal";0-0;"Try";"Tr001_HomePage";1850;yes;"Searchers";"Default zone";""
14831;2020-09-30T20:25:28.518+02:00;"BrowseForAnimals";0-25;"Try";"Tr002_EnterStore";294;yes;"Browsers";"Default zone";""
15042;2020-09-30T20:25:28.729+02:00;"SearchAnimal";0-2;"Try";"Tr002_EnterStore";282;yes;"Searchers";"Default zone";""
15751;2020-09-30T20:25:29.438+02:00;"BrowseForAnimals";0-24;"Try";"Tr002_EnterStore";328;yes;"Browsers";"Default zone";""
15798;2020-09-30T20:25:29.485+02:00;"SearchAnimal";0-1;"Try";"Tr004_SelectAnimal";133;yes;"Searchers";"Default zone";"FL-DLH-02;200"
17073;2020-09-30T20:25:30.760+02:00;"SearchAnimal";0-3;"Try";"Tr001_HomePage";1757;yes;"Searchers";"Default zone";""
17364;2020-09-30T20:25:31.051+02:00;"SearchAnimal";0-2;"Try";"Tr003_Search";126;yes;"Searchers";"Default zone";"Monkey;200"
17373;2020-09-30T20:25:31.060+02:00;"SearchAnimal";0-0;"Try";"Tr002_EnterStore";274;yes;"Searchers";"Default zone";""
17957;2020-09-30T20:25:31.644+02:00;"SearchAnimal";0-2;"Try";"Tr001_HomePage";584;yes;"Searchers";"Default zone";""
20679;2020-09-30T20:25:34.366+02:00;"BrowseForAnimals";0-24;"Try";"Tr003_Browse";151;yes;"Browsers";"Default zone";"Fish;200"
20680;2020-09-30T20:25:34.367+02:00;"BrowseForAnimals";0-25;"Try";"Tr003_Browse";460;yes;"Browsers";"Default zone";"Cats;200"
20739;2020-09-30T20:25:34.426+02:00;"SearchAnimal";0-3;"Try";"Tr002_EnterStore";500;yes;"Searchers";"Default zone";""
20877;2020-09-30T20:25:34.564+02:00;"SearchAnimal";0-1;"Try";"Tr005_SeeDetails";189;yes;"Searchers";"Default zone";"EST-17;200"
21409;2020-09-30T20:25:35.096+02:00;"SearchAnimal";0-0;"Try";"Tr003_Search";362;yes;"Searchers";"Default zone";"Fish;200"
21499;2020-09-30T20:25:35.186+02:00;"SearchAnimal";0-4;"Try";"Tr001_HomePage";1179;yes;"Searchers";"Default zone";""
