Elapsed;Time;User Path;Virtual User ID;Parent;Element;Response time;Success;Population;Zone;CustumValue
662;2020-10-06T15:41:38.696+02:00;"SearchAnimal";0-0;"Try";"Tr001_HomePage";298;yes;"Searchers";"Default zone";""
664;2020-10-06T15:41:38.698+02:00;"BrowseForAnimals";0-36;"Try";"Tr001_HomePage";297;yes;"Browsers";"Default zone";""
3674;2020-10-06T15:41:41.708+02:00;"BrowseForAnimals";0-36;"Try";"Tr002_EnterStore";261;yes;"Browsers";"Default zone";""
3829;2020-10-06T15:41:41.863+02:00;"SearchAnimal";0-1;"Try";"Tr001_HomePage";280;yes;"Searchers";"Default zone";""
4786;2020-10-06T15:41:42.820+02:00;"SearchAnimal";0-0;"Try";"Tr002_EnterStore";300;yes;"Searchers";"Default zone";""
6670;2020-10-06T15:41:44.704+02:00;"SearchAnimal";0-1;"Try";"Tr002_EnterStore";182;yes;"Searchers";"Default zone";""
6871;2020-10-06T15:41:44.905+02:00;"BrowseForAnimals";0-36;"Try";"Tr003_Browse";45;no;"Browsers";"Default zone";"Snakes;500"
6948;2020-10-06T15:41:44.982+02:00;"SearchAnimal";0-0;"Try";"Tr003_Search";79;yes;"Searchers";"Default zone";"Gorilla;200"
7220;2020-10-06T15:41:45.254+02:00;"BrowseForAnimals";0-36;"Try";"Tr001_HomePage";337;yes;"Browsers";"Default zone";""
7221;2020-10-06T15:41:45.255+02:00;"SearchAnimal";0-2;"Try";"Tr001_HomePage";336;yes;"Searchers";"Default zone";""
7258;2020-10-06T15:41:45.292+02:00;"SearchAnimal";0-0;"Try";"Tr001_HomePage";305;yes;"Searchers";"Default zone";""
9010;2020-10-06T15:41:47.044+02:00;"BrowseForAnimals";0-37;"Try";"Tr001_HomePage";203;yes;"Browsers";"Default zone";""
9741;2020-10-06T15:41:47.775+02:00;"SearchAnimal";0-2;"Try";"Tr002_EnterStore";176;yes;"Searchers";"Default zone";""
9762;2020-10-06T15:41:47.796+02:00;"SearchAnimal";0-1;"Try";"Tr003_Search";91;yes;"Searchers";"Default zone";"Cats;200"
10511;2020-10-06T15:41:48.545+02:00;"SearchAnimal";0-3;"Try";"Tr001_HomePage";298;yes;"Searchers";"Default zone";""
10573;2020-10-06T15:41:48.607+02:00;"SearchAnimal";0-0;"Try";"Tr002_EnterStore";178;yes;"Searchers";"Default zone";""
10881;2020-10-06T15:41:48.915+02:00;"BrowseForAnimals";0-36;"Try";"Tr002_EnterStore";187;yes;"Browsers";"Default zone";""
11960;2020-10-06T15:41:49.994+02:00;"BrowseForAnimals";0-37;"Try";"Tr002_EnterStore";175;yes;"Browsers";"Default zone";""
12210;2020-10-06T15:41:50.244+02:00;"SearchAnimal";0-2;"Try";"Tr003_Search";86;yes;"Searchers";"Default zone";"Monkey;200"
12428;2020-10-06T15:41:50.462+02:00;"SearchAnimal";0-2;"Try";"Tr001_HomePage";215;yes;"Searchers";"Default zone";""
12799;2020-10-06T15:41:50.833+02:00;"SearchAnimal";0-0;"Try";"Tr003_Search";79;yes;"Searchers";"Default zone";"Fish;200"
13043;2020-10-06T15:41:51.077+02:00;"SearchAnimal";0-1;"Try";"Tr004_SelectAnimal";75;yes;"Searchers";"Default zone";"FL-DLH-02;200"
13284;2020-10-06T15:41:51.318+02:00;"SearchAnimal";0-3;"Try";"Tr002_EnterStore";225;yes;"Searchers";"Default zone";""
13693;2020-10-06T15:41:51.727+02:00;"BrowseForAnimals";0-36;"Try";"Tr003_Browse";41;yes;"Browsers";"Default zone";"Cats;200"
13854;2020-10-06T15:41:51.888+02:00;"SearchAnimal";0-4;"Try";"Tr001_HomePage";306;yes;"Searchers";"Default zone";""
15248;2020-10-06T15:41:53.282+02:00;"BrowseForAnimals";0-37;"Try";"Tr003_Browse";38;yes;"Browsers";"Default zone";"Fish;200"
