Elapsed;Time;User Path;Virtual User ID;Parent;Element;Response time;Success;Population;Zone;CustumValue
82399;2020-09-30T19:36:45.418+02:00;"SearchAnimal";0-6;"Try";"Tr005_SeeDetails";65;yes;"Searchers";"Default zone";"EST-4;200"
83301;2020-09-30T19:36:46.320+02:00;"BrowseForAnimals";0-12;"Try";"Tr004_SelectProductID";130;yes;"Browsers";"Default zone";"AV-CB-01;200"
83665;2020-09-30T19:36:46.684+02:00;"SearchAnimal";0-8;"Try";"Tr001_HomePage";3147;yes;"Searchers";"Default zone";""
84151;2020-09-30T19:36:47.170+02:00;"BrowseForAnimals";0-16;"Try";"Tr001_HomePage";3595;yes;"Browsers";"Default zone";""
84661;2020-09-30T19:36:47.680+02:00;"SearchAnimal";0-7;"Try";"Tr004_SelectAnimal";115;yes;"Searchers";"Default zone";"FI-FW-02;200"
84671;2020-09-30T19:36:47.690+02:00;"BrowseForAnimals";0-13;"Try";"Tr001_HomePage";3112;yes;"Browsers";"Default zone";""
84674;2020-09-30T19:36:47.693+02:00;"SearchAnimal";0-1;"Try";"Tr001_HomePage";3440;yes;"Searchers";"Default zone";""
85314;2020-09-30T19:36:48.333+02:00;"SearchAnimal";0-2;"Try";"Tr003_Search";178;yes;"Searchers";"Default zone";"Tiger;200"
86469;2020-09-30T19:36:49.488+02:00;"SearchAnimal";0-0;"Try";"Tr002_EnterStore";518;yes;"Searchers";"Default zone";""
87428;2020-09-30T19:36:50.447+02:00;"BrowseForAnimals";0-13;"Try";"Tr002_EnterStore";281;yes;"Browsers";"Default zone";""
87627;2020-09-30T19:36:50.646+02:00;"SearchAnimal";0-1;"Try";"Tr002_EnterStore";310;yes;"Searchers";"Default zone";""
88063;2020-09-30T19:36:51.082+02:00;"BrowseForAnimals";0-16;"Try";"Tr002_EnterStore";430;yes;"Browsers";"Default zone";""
88354;2020-09-30T19:36:51.373+02:00;"SearchAnimal";0-7;"Try";"Tr005_SeeDetails";60;yes;"Searchers";"Default zone";"EST-21;200"
88380;2020-09-30T19:36:51.399+02:00;"BrowseForAnimals";0-12;"Try";"Tr005_ViewAnimal";147;yes;"Browsers";"Default zone";"EST-18;200"
88559;2020-09-30T19:36:51.578+02:00;"SearchAnimal";0-2;"Try";"Tr004_SelectAnimal";139;yes;"Searchers";"Default zone";"FI-SW-02;200"
88617;2020-09-30T19:36:51.636+02:00;"SearchAnimal";0-8;"Try";"Tr002_EnterStore";513;yes;"Searchers";"Default zone";""
88627;2020-09-30T19:36:51.646+02:00;"SearchAnimal";0-6;"Try";"Tr006_BackHome";301;yes;"Searchers";"Default zone";""
89445;2020-09-30T19:36:52.464+02:00;"SearchAnimal";0-0;"Try";"Tr003_Search";174;yes;"Searchers";"Default zone";"Shark ;200"
90114;2020-09-30T19:36:53.133+02:00;"SearchAnimal";0-3;"Try";"Tr001_HomePage";591;yes;"Searchers";"Default zone";""
90483;2020-09-30T19:36:53.502+02:00;"SearchAnimal";0-1;"Try";"Tr003_Search";141;yes;"Searchers";"Default zone";"Angel;200"
91073;2020-09-30T19:36:54.092+02:00;"SearchAnimal";0-9;"Try";"Tr001_HomePage";555;yes;"Searchers";"Default zone";""
