Elapsed;Time;User Path;Virtual User ID;Parent;Element;Response time;Success;Population;Zone;CustumValue
1094;2020-09-30T20:06:40.071+02:00;"SearchAnimal";0-0;"Try";"Tr001_HomePage";615;yes;"Searchers";"Default zone";""
1736;2020-09-30T20:06:40.713+02:00;"BrowseForAnimals";0-12;"Try";"Tr001_HomePage";1256;yes;"Browsers";"Default zone";""
5665;2020-09-30T20:06:44.642+02:00;"SearchAnimal";0-0;"Try";"Tr002_EnterStore";298;yes;"Searchers";"Default zone";""
6737;2020-09-30T20:06:45.714+02:00;"BrowseForAnimals";0-12;"Try";"Tr002_EnterStore";437;yes;"Browsers";"Default zone";""
9641;2020-09-30T20:06:48.618+02:00;"SearchAnimal";0-0;"Try";"Tr003_Search";156;yes;"Searchers";"Default zone";"Gorilla;200"
10201;2020-09-30T20:06:49.178+02:00;"SearchAnimal";0-0;"Try";"Tr001_HomePage";541;yes;"Searchers";"Default zone";""
10895;2020-09-30T20:06:49.872+02:00;"SearchAnimal";0-1;"Try";"Tr001_HomePage";590;yes;"Searchers";"Default zone";""
11219;2020-09-30T20:06:50.196+02:00;"BrowseForAnimals";0-12;"Try";"Tr003_Browse";69;no;"Browsers";"Default zone";"Snakes;500"
11731;2020-09-30T20:06:50.708+02:00;"BrowseForAnimals";0-12;"Try";"Tr001_HomePage";507;yes;"Browsers";"Default zone";""
12486;2020-09-30T20:06:51.463+02:00;"SearchAnimal";0-0;"Try";"Tr002_EnterStore";277;yes;"Searchers";"Default zone";""
14904;2020-09-30T20:06:53.881+02:00;"SearchAnimal";0-0;"Try";"Tr003_Search";176;yes;"Searchers";"Default zone";"Cats;200"
16777;2020-09-30T20:06:55.754+02:00;"SearchAnimal";0-1;"Try";"Tr002_EnterStore";689;yes;"Searchers";"Default zone";""
17819;2020-09-30T20:06:56.796+02:00;"BrowseForAnimals";0-12;"Try";"Tr002_EnterStore";616;yes;"Browsers";"Default zone";""
