Elapsed;Time;User Path;Virtual User ID;Parent;Element;Response time;Success;Population;Zone;CustumValue
1684;2020-10-06T19:14:07.400+02:00;"SearchAnimal";0-0;"Try";"Tr001_HomePage";1184;yes;"Searchers";"Default zone";""
2684;2020-10-06T19:14:08.400+02:00;"BrowseForAnimals";0-36;"Try";"Tr001_HomePage";2185;yes;"Browsers";"Default zone";""
4689;2020-10-06T19:14:10.405+02:00;"SearchAnimal";0-1;"Try";"Tr001_HomePage";1058;yes;"Searchers";"Default zone";""
5099;2020-10-06T19:14:10.815+02:00;"SearchAnimal";0-0;"Try";"Tr002_EnterStore";186;yes;"Searchers";"Default zone";""
6067;2020-10-06T19:14:11.783+02:00;"BrowseForAnimals";0-36;"Try";"Tr002_EnterStore";292;yes;"Browsers";"Default zone";""
7153;2020-10-06T19:14:12.869+02:00;"SearchAnimal";0-1;"Try";"Tr002_EnterStore";211;yes;"Searchers";"Default zone";""
7191;2020-10-06T19:14:12.907+02:00;"SearchAnimal";0-2;"Try";"Tr001_HomePage";223;yes;"Searchers";"Default zone";""
7946;2020-10-06T19:14:13.662+02:00;"SearchAnimal";0-0;"Try";"Tr003_Search";89;yes;"Searchers";"Default zone";"Iguana;200"
8789;2020-10-06T19:14:14.505+02:00;"BrowseForAnimals";0-36;"Try";"Tr003_Browse";47;no;"Browsers";"Default zone";"Snakes;500"
9088;2020-10-06T19:14:14.804+02:00;"BrowseForAnimals";0-36;"Try";"Tr001_HomePage";290;yes;"Browsers";"Default zone";""
9703;2020-10-06T19:14:15.419+02:00;"BrowseForAnimals";0-37;"Try";"Tr001_HomePage";806;yes;"Browsers";"Default zone";""
9925;2020-10-06T19:14:15.641+02:00;"SearchAnimal";0-2;"Try";"Tr002_EnterStore";183;yes;"Searchers";"Default zone";""
10548;2020-10-06T19:14:16.264+02:00;"SearchAnimal";0-3;"Try";"Tr001_HomePage";253;yes;"Searchers";"Default zone";""
10698;2020-10-06T19:14:16.414+02:00;"SearchAnimal";0-0;"Try";"Tr004_SelectAnimal";76;yes;"Searchers";"Default zone";"RP-LI-02;200"
10937;2020-10-06T19:14:16.653+02:00;"SearchAnimal";0-1;"Try";"Tr003_Search";104;yes;"Searchers";"Default zone";"Parrot;200"
12553;2020-10-06T19:14:18.269+02:00;"BrowseForAnimals";0-36;"Try";"Tr002_EnterStore";225;yes;"Browsers";"Default zone";""
13418;2020-10-06T19:14:19.134+02:00;"BrowseForAnimals";0-37;"Try";"Tr002_EnterStore";199;yes;"Browsers";"Default zone";""
13522;2020-10-06T19:14:19.238+02:00;"SearchAnimal";0-0;"Try";"Tr005_SeeDetails";40;yes;"Searchers";"Default zone";"EST-13;200"
13664;2020-10-06T19:14:19.380+02:00;"SearchAnimal";0-2;"Try";"Tr003_Search";81;yes;"Searchers";"Default zone";"Tui;200"
13840;2020-10-06T19:14:19.556+02:00;"SearchAnimal";0-4;"Try";"Tr001_HomePage";212;yes;"Searchers";"Default zone";""
